round,accuracy,count
1,0.0994,5
2,0.1014,1
3,0.0994,5
4,0.1012,4
5,0.1012,7
6,0.1009,5
7,0.1011,5
8,0.142,5
9,0.111,4
10,0.1011,3
11,0.1012,4
12,0.1336,2
13,0.1474,4
14,0.1026,5
15,0.1013,5
16,0.1416,3
17,0.1186,5
18,0.1065,4
19,0.156,3
20,0.1161,4
21,0.098,5
22,0.1211,4
23,0.1633,6
24,0.1106,4
25,0.1484,3
26,0.1026,4
27,0.132,3
28,0.1682,7
29,0.1056,6
30,0.128,4
31,0.155,4
32,0.1418,6
33,0.1302,4
34,0.1109,4
35,0.1086,3
36,0.1452,5
37,0.1594,4
38,0.1544,4
39,0.168,5
40,0.1164,4
41,0.1923,4
42,0.177,4
43,0.1932,3
44,0.1109,3
45,0.1592,5
46,0.2144,6
47,0.1954,5
48,0.1876,5
49,0.1326,6
50,0.1658,4
51,0.1801,4
52,0.1649,3
53,0.133,4
54,0.1928,5
55,0.19,4
56,0.2467,4
57,0.1465,6
58,0.1665,4
59,0.1001,2
60,0.2094,6
61,0.1637,5
62,0.1823,3
63,0.1736,2
64,0.2524,6
65,0.2313,7
66,0.1897,3
67,0.2497,8
68,0.2357,7
69,0.2014,4
70,0.2192,6
71,0.2238,6
72,0.2196,5
73,0.16,5
74,0.2151,4
75,0.1536,5
76,0.223,5
77,0.1363,3
78,0.2307,5
79,0.1174,3
80,0.1664,3
81,0.1821,4
82,0.1734,1
83,0.1,4
84,0.2406,6
85,0.2292,5
86,0.2642,3
87,0.1983,3
88,0.1964,4
89,0.2494,6
90,0.2686,7
91,0.2056,5
92,0.2689,5
93,0.2864,3
94,0.2026,4
95,0.2077,4
96,0.1755,4
97,0.221,4
98,0.2348,5
99,0.1696,4
100,0.1963,6
101,0.1401,2
102,0.2578,2
103,0.2157,2
104,0.1557,2
105,0.1727,5
106,0.1521,4
107,0.1555,6
108,0.2167,5
109,0.1917,6
110,0.2214,5
111,0.2886,3
112,0.2799,9
113,0.1949,5
114,0.1997,4
115,0.1543,2
116,0.2292,5
117,0.2421,4
118,0.1972,3
119,0.2594,6
120,0.2527,5
121,0.194,5
122,0.1816,5
123,0.164,4
124,0.1358,3
125,0.1674,6
126,0.2268,5
127,0.3008,4
128,0.1899,3
129,0.1668,4
130,0.2049,4
131,0.3315,4
132,0.2265,3
133,0.2533,3
134,0.1623,4
135,0.2066,4
136,0.2345,4
137,0.1721,2
138,0.2319,6
139,0.2392,3
140,0.1403,3
141,0.3015,5
142,0.2662,2
143,0.3012,7
144,0.1971,3
145,0.2395,3
146,0.1394,2
147,0.1804,7
148,0.2095,2
149,0.1962,2
150,0.201,4
151,0.1703,4
152,0.1958,6
153,0.2926,4
154,0.2914,5
155,0.2535,5
156,0.2841,4
157,0.2442,6
158,0.312,7
159,0.3031,3
160,0.1359,5
161,0.3666,4
162,0.2866,2
163,0.2973,3
164,0.2097,5
165,0.2681,4
166,0.3002,8
167,0.2458,4
168,0.2778,4
169,0.1382,4
170,0.2194,3
171,0.225,5
172,0.243,3
173,0.2006,3
174,0.3011,7
175,0.282,6
176,0.2805,3
177,0.1302,3
178,0.2156,7
179,0.2776,6
180,0.2647,3
181,0.2535,4
182,0.2613,9
183,0.2866,3
184,0.2483,2
185,0.3233,8
186,0.2909,7
187,0.3211,6
188,0.2714,3
189,0.1471,3
190,0.25,3
191,0.3153,6
192,0.2258,2
193,0.2783,2
194,0.1805,5
195,0.3571,4
196,0.2466,2
197,0.2528,4
198,0.2105,3
199,0.2731,4
200,0.3285,8
