dv - | INFO flwr 2024-11-12 16:02:03,741 | server_app.py:105 | file writing: True
dv - | INFO flwr 2024-11-12 16:02:03,741 | server_app.py:106 | running in fed_avg
dv - | INFO flwr 2024-11-12 16:02:03,741 | server_app.py:107 | min num clients 2
dv - | INFO flwr 2024-11-12 16:02:03,742 | server_app.py:108 | num server rounds 200
dv - | INFO flwr 2024-11-12 16:02:03,742 | server_app.py:109 | config num local epochs 3
dv - | INFO flwr 2024-11-12 16:02:03,742 | server_app.py:110 | advanced logging False
dv - | INFO flwr 2024-11-12 16:02:03,742 | server_app.py:111 | partition: shard
dv - | INFO flwr 2024-11-12 16:02:03,742 | server_app.py:112 | fraction: 2
dv - | INFO flwr 2024-11-12 16:02:03,742 | app.py:74 | Starting Flower ServerApp, config: num_rounds=200, no round_timeout
dv - | INFO flwr 2024-11-12 16:02:03,742 | app.py:79 | 
dv - | INFO flwr 2024-11-12 16:02:03,742 | server.py:92 | [INIT]
dv - | INFO flwr 2024-11-12 16:02:03,742 | server.py:277 | Using initial global parameters provided by strategy
dv - | INFO flwr 2024-11-12 16:02:03,742 | server.py:94 | Starting evaluation of initial global parameters
dv - | INFO flwr 2024-11-12 16:02:03,742 | server.py:106 | Evaluation returned no results (`None`)
dv - | INFO flwr 2024-11-12 16:02:03,742 | server.py:112 | 
dv - | INFO flwr 2024-11-12 16:02:03,742 | server.py:113 | [ROUND 1]
dv - | DEBUG flwr 2024-11-12 16:02:03,743 | fed_custom.py:179 | random sample
dv - | INFO flwr 2024-11-12 16:02:03,743 | fed_custom.py:200 | configure_fit: strategy returns 5 out of range 51 and round 25
dv - | INFO flwr 2024-11-12 16:02:03,743 | server.py:226 | configure_fit: strategy sampled 5 clients (out of 100)
dv - | DEBUG flwr 2024-11-12 16:02:06,949 | raybackend.py:141 | Constructed ActorPool with: 12 actors
dv - | DEBUG flwr 2024-11-12 16:02:06,949 | state_factory.py:50 | Using InMemoryState
dv - | INFO flwr 2024-11-12 16:02:52,231 | server.py:240 | aggregate_fit: received 5 results and 0 failures
dv - | WARNING flwr 2024-11-12 16:02:52,234 | federal_avg.py:121 | No fit_metrics_aggregation_fn provided
dv - | INFO flwr 2024-11-12 16:02:52,234 | server.py:178 | configure_evaluate: strategy sampled 100 clients (out of 100)
dv - | INFO flwr 2024-11-12 16:02:56,354 | server.py:192 | aggregate_evaluate: received 100 results and 0 failures
dv - | INFO flwr 2024-11-12 16:02:56,354 | fed_custom.py:294 | aggregated accuracy: 0.1026
dv - | INFO flwr 2024-11-12 16:02:56,354 | server.py:112 | 
dv - | INFO flwr 2024-11-12 16:02:56,354 | server.py:113 | [ROUND 2]
dv - | DEBUG flwr 2024-11-12 16:02:56,354 | fed_custom.py:179 | random sample
dv - | INFO flwr 2024-11-12 16:02:56,354 | fed_custom.py:200 | configure_fit: strategy returns 12 out of range 52 and round 26
dv - | INFO flwr 2024-11-12 16:02:56,355 | server.py:226 | configure_fit: strategy sampled 12 clients (out of 100)
dv - | INFO flwr 2024-11-12 16:02:57,072 | server.py:240 | aggregate_fit: received 12 results and 0 failures
dv - | INFO flwr 2024-11-12 16:02:57,075 | server.py:178 | configure_evaluate: strategy sampled 100 clients (out of 100)
dv - | INFO flwr 2024-11-12 16:02:57,889 | server.py:192 | aggregate_evaluate: received 100 results and 0 failures
dv - | INFO flwr 2024-11-12 16:02:57,889 | fed_custom.py:294 | aggregated accuracy: 0.1026
dv - | INFO flwr 2024-11-12 16:02:57,889 | server.py:112 | 
dv - | INFO flwr 2024-11-12 16:02:57,889 | server.py:113 | [ROUND 3]
dv - | DEBUG flwr 2024-11-12 16:02:57,889 | fed_custom.py:179 | random sample
dv - | INFO flwr 2024-11-12 16:02:57,889 | fed_custom.py:200 | configure_fit: strategy returns 6 out of range 48 and round 24
dv - | INFO flwr 2024-11-12 16:02:57,889 | server.py:226 | configure_fit: strategy sampled 6 clients (out of 100)
dv - | INFO flwr 2024-11-12 16:02:58,391 | server.py:240 | aggregate_fit: received 6 results and 0 failures
dv - | INFO flwr 2024-11-12 16:02:58,393 | server.py:178 | configure_evaluate: strategy sampled 100 clients (out of 100)
dv - | INFO flwr 2024-11-12 16:02:58,999 | server.py:192 | aggregate_evaluate: received 100 results and 0 failures
dv - | INFO flwr 2024-11-12 16:02:58,999 | fed_custom.py:294 | aggregated accuracy: 0.0963
dv - | INFO flwr 2024-11-12 16:02:59,000 | server.py:112 | 
dv - | INFO flwr 2024-11-12 16:02:59,000 | server.py:113 | [ROUND 4]
dv - | DEBUG flwr 2024-11-12 16:02:59,000 | fed_custom.py:179 | random sample
dv - | INFO flwr 2024-11-12 16:02:59,000 | fed_custom.py:200 | configure_fit: strategy returns 6 out of range 49 and round 24
dv - | INFO flwr 2024-11-12 16:02:59,000 | server.py:226 | configure_fit: strategy sampled 6 clients (out of 100)
dv - | INFO flwr 2024-11-12 16:02:59,602 | server.py:240 | aggregate_fit: received 6 results and 0 failures
dv - | INFO flwr 2024-11-12 16:02:59,604 | server.py:178 | configure_evaluate: strategy sampled 100 clients (out of 100)
dv - | INFO flwr 2024-11-12 16:03:00,425 | server.py:192 | aggregate_evaluate: received 100 results and 0 failures
dv - | INFO flwr 2024-11-12 16:03:00,425 | fed_custom.py:294 | aggregated accuracy: 0.0963
dv - | INFO flwr 2024-11-12 16:03:00,425 | server.py:112 | 
dv - | INFO flwr 2024-11-12 16:03:00,425 | server.py:113 | [ROUND 5]
dv - | DEBUG flwr 2024-11-12 16:03:00,426 | fed_custom.py:179 | random sample
dv - | INFO flwr 2024-11-12 16:03:00,426 | fed_custom.py:200 | configure_fit: strategy returns 12 out of range 69 and round 34
dv - | INFO flwr 2024-11-12 16:03:00,426 | server.py:226 | configure_fit: strategy sampled 12 clients (out of 100)
dv - | INFO flwr 2024-11-12 16:03:01,232 | server.py:240 | aggregate_fit: received 12 results and 0 failures
dv - | INFO flwr 2024-11-12 16:03:01,235 | server.py:178 | configure_evaluate: strategy sampled 100 clients (out of 100)
dv - | INFO flwr 2024-11-12 16:03:02,049 | server.py:192 | aggregate_evaluate: received 100 results and 0 failures
dv - | INFO flwr 2024-11-12 16:03:02,050 | fed_custom.py:294 | aggregated accuracy: 0.0963
dv - | INFO flwr 2024-11-12 16:03:02,050 | server.py:112 | 
dv - | INFO flwr 2024-11-12 16:03:02,050 | server.py:113 | [ROUND 6]
dv - | DEBUG flwr 2024-11-12 16:03:02,050 | fed_custom.py:179 | random sample
dv - | INFO flwr 2024-11-12 16:03:02,050 | fed_custom.py:200 | configure_fit: strategy returns 11 out of range 57 and round 28
dv - | INFO flwr 2024-11-12 16:03:02,050 | server.py:226 | configure_fit: strategy sampled 11 clients (out of 100)
dv - | INFO flwr 2024-11-12 16:03:02,754 | server.py:240 | aggregate_fit: received 11 results and 0 failures
dv - | INFO flwr 2024-11-12 16:03:02,757 | server.py:178 | configure_evaluate: strategy sampled 100 clients (out of 100)
dv - | INFO flwr 2024-11-12 16:03:03,572 | server.py:192 | aggregate_evaluate: received 100 results and 0 failures
dv - | INFO flwr 2024-11-12 16:03:03,572 | fed_custom.py:294 | aggregated accuracy: 0.0963
dv - | INFO flwr 2024-11-12 16:03:03,573 | server.py:112 | 
dv - | INFO flwr 2024-11-12 16:03:03,573 | server.py:113 | [ROUND 7]
dv - | DEBUG flwr 2024-11-12 16:03:03,573 | fed_custom.py:179 | random sample
dv - | INFO flwr 2024-11-12 16:03:03,573 | fed_custom.py:200 | configure_fit: strategy returns 9 out of range 51 and round 25
dv - | INFO flwr 2024-11-12 16:03:03,573 | server.py:226 | configure_fit: strategy sampled 9 clients (out of 100)
dv - | INFO flwr 2024-11-12 16:03:04,177 | server.py:240 | aggregate_fit: received 9 results and 0 failures
dv - | INFO flwr 2024-11-12 16:03:04,179 | server.py:178 | configure_evaluate: strategy sampled 100 clients (out of 100)
dv - | INFO flwr 2024-11-12 16:03:04,987 | server.py:192 | aggregate_evaluate: received 100 results and 0 failures
dv - | INFO flwr 2024-11-12 16:03:04,987 | fed_custom.py:294 | aggregated accuracy: 0.0963
dv - | INFO flwr 2024-11-12 16:03:04,987 | server.py:112 | 
dv - | INFO flwr 2024-11-12 16:03:04,987 | server.py:113 | [ROUND 8]
dv - | DEBUG flwr 2024-11-12 16:03:04,987 | fed_custom.py:179 | random sample
dv - | INFO flwr 2024-11-12 16:03:04,987 | fed_custom.py:200 | configure_fit: strategy returns 8 out of range 37 and round 18
dv - | INFO flwr 2024-11-12 16:03:04,987 | server.py:226 | configure_fit: strategy sampled 8 clients (out of 100)
dv - | INFO flwr 2024-11-12 16:03:05,592 | server.py:240 | aggregate_fit: received 8 results and 0 failures
dv - | INFO flwr 2024-11-12 16:03:05,594 | server.py:178 | configure_evaluate: strategy sampled 100 clients (out of 100)
dv - | INFO flwr 2024-11-12 16:03:06,407 | server.py:192 | aggregate_evaluate: received 100 results and 0 failures
dv - | INFO flwr 2024-11-12 16:03:06,407 | fed_custom.py:294 | aggregated accuracy: 0.1037
dv - | INFO flwr 2024-11-12 16:03:06,407 | server.py:112 | 
dv - | INFO flwr 2024-11-12 16:03:06,407 | server.py:113 | [ROUND 9]
dv - | DEBUG flwr 2024-11-12 16:03:06,408 | fed_custom.py:179 | random sample
dv - | INFO flwr 2024-11-12 16:03:06,408 | fed_custom.py:200 | configure_fit: strategy returns 9 out of range 49 and round 24
dv - | INFO flwr 2024-11-12 16:03:06,408 | server.py:226 | configure_fit: strategy sampled 9 clients (out of 100)
dv - | INFO flwr 2024-11-12 16:03:07,011 | server.py:240 | aggregate_fit: received 9 results and 0 failures
dv - | INFO flwr 2024-11-12 16:03:07,014 | server.py:178 | configure_evaluate: strategy sampled 100 clients (out of 100)
dv - | INFO flwr 2024-11-12 16:03:07,836 | server.py:192 | aggregate_evaluate: received 100 results and 0 failures
dv - | INFO flwr 2024-11-12 16:03:07,836 | fed_custom.py:294 | aggregated accuracy: 0.0963
dv - | INFO flwr 2024-11-12 16:03:07,836 | server.py:112 | 
dv - | INFO flwr 2024-11-12 16:03:07,836 | server.py:113 | [ROUND 10]
dv - | DEBUG flwr 2024-11-12 16:03:07,837 | fed_custom.py:179 | random sample
dv - | INFO flwr 2024-11-12 16:03:07,837 | fed_custom.py:200 | configure_fit: strategy returns 6 out of range 40 and round 20
dv - | INFO flwr 2024-11-12 16:03:07,837 | server.py:226 | configure_fit: strategy sampled 6 clients (out of 100)
dv - | INFO flwr 2024-11-12 16:03:08,340 | server.py:240 | aggregate_fit: received 6 results and 0 failures
dv - | INFO flwr 2024-11-12 16:03:08,342 | server.py:178 | configure_evaluate: strategy sampled 100 clients (out of 100)
dv - | INFO flwr 2024-11-12 16:03:09,152 | server.py:192 | aggregate_evaluate: received 100 results and 0 failures
dv - | INFO flwr 2024-11-12 16:03:09,152 | fed_custom.py:294 | aggregated accuracy: 0.0975
dv - | INFO flwr 2024-11-12 16:03:09,152 | server.py:112 | 
dv - | INFO flwr 2024-11-12 16:03:09,152 | server.py:113 | [ROUND 11]
dv - | DEBUG flwr 2024-11-12 16:03:09,152 | fed_custom.py:179 | random sample
dv - | INFO flwr 2024-11-12 16:03:09,152 | fed_custom.py:200 | configure_fit: strategy returns 10 out of range 50 and round 25
dv - | INFO flwr 2024-11-12 16:03:09,152 | server.py:226 | configure_fit: strategy sampled 10 clients (out of 100)
dv - | INFO flwr 2024-11-12 16:03:09,855 | server.py:240 | aggregate_fit: received 10 results and 0 failures
dv - | INFO flwr 2024-11-12 16:03:09,858 | server.py:178 | configure_evaluate: strategy sampled 100 clients (out of 100)
dv - | INFO flwr 2024-11-12 16:03:10,675 | server.py:192 | aggregate_evaluate: received 100 results and 0 failures
dv - | INFO flwr 2024-11-12 16:03:10,676 | fed_custom.py:294 | aggregated accuracy: 0.1029
dv - | INFO flwr 2024-11-12 16:03:10,676 | server.py:112 | 
dv - | INFO flwr 2024-11-12 16:03:10,676 | server.py:113 | [ROUND 12]
dv - | DEBUG flwr 2024-11-12 16:03:10,676 | fed_custom.py:179 | random sample
dv - | INFO flwr 2024-11-12 16:03:10,676 | fed_custom.py:200 | configure_fit: strategy returns 6 out of range 45 and round 22
dv - | INFO flwr 2024-11-12 16:03:10,676 | server.py:226 | configure_fit: strategy sampled 6 clients (out of 100)
dv - | INFO flwr 2024-11-12 16:03:11,280 | server.py:240 | aggregate_fit: received 6 results and 0 failures
dv - | INFO flwr 2024-11-12 16:03:11,281 | server.py:178 | configure_evaluate: strategy sampled 100 clients (out of 100)
dv - | INFO flwr 2024-11-12 16:03:12,097 | server.py:192 | aggregate_evaluate: received 100 results and 0 failures
dv - | INFO flwr 2024-11-12 16:03:12,097 | fed_custom.py:294 | aggregated accuracy: 0.1029
dv - | INFO flwr 2024-11-12 16:03:12,097 | server.py:112 | 
dv - | INFO flwr 2024-11-12 16:03:12,097 | server.py:113 | [ROUND 13]
dv - | DEBUG flwr 2024-11-12 16:03:12,098 | fed_custom.py:179 | random sample
dv - | INFO flwr 2024-11-12 16:03:12,098 | fed_custom.py:200 | configure_fit: strategy returns 9 out of range 49 and round 24
dv - | INFO flwr 2024-11-12 16:03:12,098 | server.py:226 | configure_fit: strategy sampled 9 clients (out of 100)
dv - | INFO flwr 2024-11-12 16:03:12,701 | server.py:240 | aggregate_fit: received 9 results and 0 failures
dv - | INFO flwr 2024-11-12 16:03:12,704 | server.py:178 | configure_evaluate: strategy sampled 100 clients (out of 100)
dv - | INFO flwr 2024-11-12 16:03:13,518 | server.py:192 | aggregate_evaluate: received 100 results and 0 failures
dv - | INFO flwr 2024-11-12 16:03:13,518 | fed_custom.py:294 | aggregated accuracy: 0.1405
dv - | INFO flwr 2024-11-12 16:03:13,518 | server.py:112 | 
dv - | INFO flwr 2024-11-12 16:03:13,518 | server.py:113 | [ROUND 14]
dv - | DEBUG flwr 2024-11-12 16:03:13,519 | fed_custom.py:179 | random sample
dv - | INFO flwr 2024-11-12 16:03:13,519 | fed_custom.py:200 | configure_fit: strategy returns 9 out of range 52 and round 26
dv - | INFO flwr 2024-11-12 16:03:13,519 | server.py:226 | configure_fit: strategy sampled 9 clients (out of 100)
dv - | INFO flwr 2024-11-12 16:03:14,123 | server.py:240 | aggregate_fit: received 9 results and 0 failures
dv - | INFO flwr 2024-11-12 16:03:14,125 | server.py:178 | configure_evaluate: strategy sampled 100 clients (out of 100)
dv - | INFO flwr 2024-11-12 16:03:14,947 | server.py:192 | aggregate_evaluate: received 100 results and 0 failures
dv - | INFO flwr 2024-11-12 16:03:14,947 | fed_custom.py:294 | aggregated accuracy: 0.0963
dv - | INFO flwr 2024-11-12 16:03:14,947 | server.py:112 | 
dv - | INFO flwr 2024-11-12 16:03:14,947 | server.py:113 | [ROUND 15]
