dv - | INFO flwr 2024-11-07 12:04:25,030 | server_app.py:101 | file writing: True
dv - | INFO flwr 2024-11-07 12:04:25,030 | server_app.py:102 | running in fed_cad
dv - | INFO flwr 2024-11-07 12:04:25,030 | server_app.py:103 | min num clients 2
dv - | INFO flwr 2024-11-07 12:04:25,030 | server_app.py:104 | num server rounds 200
dv - | INFO flwr 2024-11-07 12:04:25,030 | server_app.py:105 | config num local epochs 5
dv - | INFO flwr 2024-11-07 12:04:25,030 | server_app.py:106 | advanced logging False
dv - | INFO flwr 2024-11-07 12:04:25,030 | server_app.py:107 | partition: dirichlet
dv - | INFO flwr 2024-11-07 12:04:25,030 | server_app.py:108 | fraction: 2
dv - | INFO flwr 2024-11-07 12:04:25,030 | app.py:74 | Starting Flower ServerApp, config: num_rounds=200, no round_timeout
dv - | INFO flwr 2024-11-07 12:04:25,030 | app.py:79 | 
dv - | INFO flwr 2024-11-07 12:04:25,031 | server.py:92 | [INIT]
dv - | INFO flwr 2024-11-07 12:04:25,031 | server.py:277 | Using initial global parameters provided by strategy
dv - | INFO flwr 2024-11-07 12:04:25,031 | server.py:94 | Starting evaluation of initial global parameters
dv - | INFO flwr 2024-11-07 12:04:25,031 | server.py:106 | Evaluation returned no results (`None`)
dv - | INFO flwr 2024-11-07 12:04:25,031 | server.py:112 | 
dv - | INFO flwr 2024-11-07 12:04:25,031 | server.py:113 | [ROUND 1]
dv - | DEBUG flwr 2024-11-07 12:04:25,031 | fed_custom.py:174 | SMART sample
dv - | INFO flwr 2024-11-07 12:04:25,031 | fed_custom.py:200 | configure_fit: strategy returns 16 out of range 51 and round 25
dv - | INFO flwr 2024-11-07 12:04:25,031 | server.py:226 | configure_fit: strategy sampled 16 clients (out of 100)
dv - | DEBUG flwr 2024-11-07 12:04:27,255 | raybackend.py:141 | Constructed ActorPool with: 12 actors
dv - | DEBUG flwr 2024-11-07 12:04:27,255 | state_factory.py:50 | Using InMemoryState
dv - | INFO flwr 2024-11-07 12:04:32,565 | server.py:240 | aggregate_fit: received 16 results and 0 failures
dv - | INFO flwr 2024-11-07 12:04:32,571 | server.py:178 | configure_evaluate: strategy sampled 100 clients (out of 100)
dv - | INFO flwr 2024-11-07 12:04:33,191 | server.py:192 | aggregate_evaluate: received 100 results and 0 failures
dv - | INFO flwr 2024-11-07 12:04:33,192 | fed_custom.py:294 | aggregated accuracy: 0.10140452236278513
dv - | INFO flwr 2024-11-07 12:04:33,192 | server.py:112 | 
dv - | INFO flwr 2024-11-07 12:04:33,192 | server.py:113 | [ROUND 2]
dv - | DEBUG flwr 2024-11-07 12:04:33,192 | fed_custom.py:174 | SMART sample
dv - | INFO flwr 2024-11-07 12:04:33,192 | fed_custom.py:200 | configure_fit: strategy returns 17 out of range 52 and round 26
dv - | INFO flwr 2024-11-07 12:04:33,192 | server.py:226 | configure_fit: strategy sampled 17 clients (out of 100)
dv - | INFO flwr 2024-11-07 12:04:34,618 | server.py:240 | aggregate_fit: received 17 results and 0 failures
dv - | INFO flwr 2024-11-07 12:04:34,623 | server.py:178 | configure_evaluate: strategy sampled 100 clients (out of 100)
dv - | INFO flwr 2024-11-07 12:04:35,243 | server.py:192 | aggregate_evaluate: received 100 results and 0 failures
dv - | INFO flwr 2024-11-07 12:04:35,243 | fed_custom.py:294 | aggregated accuracy: 0.11156489690208188
dv - | INFO flwr 2024-11-07 12:04:35,243 | server.py:112 | 
dv - | INFO flwr 2024-11-07 12:04:35,243 | server.py:113 | [ROUND 3]
dv - | DEBUG flwr 2024-11-07 12:04:35,243 | fed_custom.py:174 | SMART sample
dv - | INFO flwr 2024-11-07 12:04:35,243 | fed_custom.py:200 | configure_fit: strategy returns 13 out of range 48 and round 24
dv - | INFO flwr 2024-11-07 12:04:35,243 | server.py:226 | configure_fit: strategy sampled 13 clients (out of 100)
dv - | INFO flwr 2024-11-07 12:04:36,353 | server.py:240 | aggregate_fit: received 13 results and 0 failures
dv - | INFO flwr 2024-11-07 12:04:36,357 | server.py:178 | configure_evaluate: strategy sampled 100 clients (out of 100)
dv - | INFO flwr 2024-11-07 12:04:37,182 | server.py:192 | aggregate_evaluate: received 100 results and 0 failures
dv - | INFO flwr 2024-11-07 12:04:37,182 | fed_custom.py:294 | aggregated accuracy: 0.10947305508516784
dv - | INFO flwr 2024-11-07 12:04:37,182 | server.py:112 | 
dv - | INFO flwr 2024-11-07 12:04:37,182 | server.py:113 | [ROUND 4]
