round,accuracy,count
1,0.10080685327223828,13
2,0.10080685327223828,17
3,0.10080685327223828,10
4,0.10080685327223828,15
5,0.10080685327223828,20
6,0.10080685327223828,15
7,0.10080685327223828,12
8,0.10220141448351429,13
9,0.09732045024404821,12
10,0.10080685327223828,11
11,0.11345751568881363,14
12,0.15101105687817512,12
13,0.14702659627452933,15
14,0.1735232592887738,17
15,0.170933359896404,20
16,0.15031377627253711,11
17,0.20450244048211974,16
18,0.1858750871600757,13
19,0.1603745392967427,11
20,0.1851778065544377,14
21,0.22980376531527044,14
22,0.20191254108975,15
23,0.21844805259487995,18
24,0.2151608725968722,14
25,0.22173523259288774,12
26,0.22103795198724974,17
27,0.23667695985655943,11
28,0.23119832652654648,15
29,0.2214363980476143,18
30,0.2187468871401534,17
31,0.2368761828867417,15
32,0.22063950592688514,14
33,0.22562008168144237,14
34,0.20808845502540094,9
35,0.23299133379818707,16
36,0.2501245143938639,16
37,0.26317362287080387,14
38,0.2616794501444367,14
39,0.22940531925490587,11
40,0.26098216953879866,12
41,0.2684530331706345,16
42,0.20828767805558324,15
43,0.24823189560713219,15
44,0.19962147624265364,15
45,0.2388684131885646,15
46,0.24255403924693694,16
47,0.265365076202809,17
48,0.2600856659029784,15
49,0.28349437194939736,20
50,0.24265365076202808,13
51,0.27960952286084273,15
52,0.2516186871202311,19
53,0.24056180894511406,15
54,0.29853571072816015,19
55,0.2534116943918717,15
56,0.3055085167845403,14
57,0.23966530530929375,17
58,0.2826974798286682,15
59,0.27303516286482715,15
60,0.2818009761928479,19
61,0.31138559617491784,14
62,0.3236378125311286,12
63,0.30750074708636316,11
64,0.2911644586114155,18
65,0.2921605737623269,15
66,0.330809841617691,15
67,0.29963143739416276,16
68,0.3055085167845403,17
69,0.294949696184879,12
70,0.2961450343659727,19
71,0.28797689012849886,13
72,0.33110867616296447,18
73,0.3081980276920012,12
74,0.3354915828269748,15
75,0.3106883155692798,19
76,0.2997310489092539,15
77,0.30022910648470963,15
78,0.2711425440780954,15
79,0.3194541288973005,18
80,0.29136368164159776,14
81,0.2728359398346449,12
82,0.34923797190955275,14
83,0.3641796991732244,15
84,0.3126805458711027,15
85,0.30789919314672776,15
86,0.3272238270744098,14
87,0.315668891323837,12
88,0.365275425839227,13
89,0.32443470465185775,16
90,0.33688614403825085,13
91,0.3518278713019225,15
92,0.330112561012053,23
93,0.3500348640302819,13
94,0.3543181591792011,13
95,0.29714114951688414,12
96,0.3498356410000996,17
97,0.32035063253312085,12
98,0.2967427034565196,18
99,0.35332204402828965,18
100,0.37473851977288575,19
101,0.32134674768403226,14
102,0.28857455921904573,11
103,0.3529235979679251,16
104,0.372845900986154,16
105,0.34634923797190953,17
106,0.34097021615698775,14
107,0.33519274828170137,22
108,0.314971610718199,12
109,0.3703556131088754,14
110,0.3345950791911545,11
111,0.34116943918717,10
112,0.3793206494670784,18
113,0.3694591094730551,14
114,0.28887339376431914,13
