dv - | INFO flwr 2024-10-14 15:28:44,115 | server.py:240 | aggregate_fit: received 4 results and 0 failures
dv - | INFO flwr 2024-10-14 15:28:44,120 | server.py:178 | configure_evaluate: strategy sampled 4 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:28:45,133 | server.py:192 | aggregate_evaluate: received 4 results and 0 failures
dv - | INFO flwr 2024-10-14 15:28:45,134 | fed_custom.py:227 | aggregated accuracy: 0.25146198830409355
dv - | INFO flwr 2024-10-14 15:28:45,135 | server.py:112 | 
dv - | INFO flwr 2024-10-14 15:28:45,135 | server.py:113 | [ROUND 8]
dv - | INFO flwr 2024-10-14 15:28:45,136 | server.py:226 | configure_fit: strategy sampled 5 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:28:51,196 | server.py:240 | aggregate_fit: received 5 results and 0 failures
dv - | INFO flwr 2024-10-14 15:28:51,201 | server.py:178 | configure_evaluate: strategy sampled 5 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:28:52,225 | server.py:192 | aggregate_evaluate: received 5 results and 0 failures
dv - | INFO flwr 2024-10-14 15:28:52,226 | fed_custom.py:227 | aggregated accuracy: 0.35091496232508074
dv - | INFO flwr 2024-10-14 15:28:52,228 | server.py:112 | 
dv - | INFO flwr 2024-10-14 15:28:52,229 | server.py:113 | [ROUND 9]
dv - | INFO flwr 2024-10-14 15:28:52,229 | server.py:226 | configure_fit: strategy sampled 4 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:28:59,311 | server.py:240 | aggregate_fit: received 4 results and 0 failures
dv - | INFO flwr 2024-10-14 15:28:59,315 | server.py:178 | configure_evaluate: strategy sampled 4 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:29:00,334 | server.py:192 | aggregate_evaluate: received 4 results and 0 failures
dv - | INFO flwr 2024-10-14 15:29:00,334 | fed_custom.py:227 | aggregated accuracy: 0.31868674401382374
dv - | INFO flwr 2024-10-14 15:29:00,335 | server.py:112 | 
dv - | INFO flwr 2024-10-14 15:29:00,335 | server.py:113 | [ROUND 10]
dv - | INFO flwr 2024-10-14 15:29:00,336 | server.py:226 | configure_fit: strategy sampled 3 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:29:08,406 | server.py:240 | aggregate_fit: received 3 results and 0 failures
dv - | INFO flwr 2024-10-14 15:29:08,411 | server.py:178 | configure_evaluate: strategy sampled 3 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:29:09,432 | server.py:192 | aggregate_evaluate: received 3 results and 0 failures
dv - | INFO flwr 2024-10-14 15:29:09,433 | fed_custom.py:227 | aggregated accuracy: 0.2883512097779995
dv - | INFO flwr 2024-10-14 15:29:09,434 | server.py:112 | 
dv - | INFO flwr 2024-10-14 15:29:09,434 | server.py:113 | [ROUND 11]
dv - | INFO flwr 2024-10-14 15:29:09,435 | server.py:226 | configure_fit: strategy sampled 3 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:29:17,519 | server.py:240 | aggregate_fit: received 3 results and 0 failures
dv - | INFO flwr 2024-10-14 15:29:17,523 | server.py:178 | configure_evaluate: strategy sampled 3 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:29:18,541 | server.py:192 | aggregate_evaluate: received 3 results and 0 failures
dv - | INFO flwr 2024-10-14 15:29:18,542 | fed_custom.py:227 | aggregated accuracy: 0.2596339113680154
dv - | INFO flwr 2024-10-14 15:29:18,542 | server.py:112 | 
dv - | INFO flwr 2024-10-14 15:29:18,543 | server.py:113 | [ROUND 12]
dv - | INFO flwr 2024-10-14 15:29:18,544 | server.py:226 | configure_fit: strategy sampled 7 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:29:30,693 | server.py:240 | aggregate_fit: received 7 results and 0 failures
dv - | INFO flwr 2024-10-14 15:29:30,699 | server.py:178 | configure_evaluate: strategy sampled 7 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:29:32,722 | server.py:192 | aggregate_evaluate: received 7 results and 0 failures
dv - | INFO flwr 2024-10-14 15:29:32,723 | fed_custom.py:227 | aggregated accuracy: 0.28826291079812205
dv - | INFO flwr 2024-10-14 15:29:32,724 | server.py:112 | 
dv - | INFO flwr 2024-10-14 15:29:32,724 | server.py:113 | [ROUND 13]
dv - | INFO flwr 2024-10-14 15:29:32,726 | server.py:226 | configure_fit: strategy sampled 3 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:29:40,809 | server.py:240 | aggregate_fit: received 3 results and 0 failures
dv - | INFO flwr 2024-10-14 15:29:40,813 | server.py:178 | configure_evaluate: strategy sampled 3 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:29:41,837 | server.py:192 | aggregate_evaluate: received 3 results and 0 failures
dv - | INFO flwr 2024-10-14 15:29:41,838 | fed_custom.py:227 | aggregated accuracy: 0.42914674049836393
dv - | INFO flwr 2024-10-14 15:29:41,838 | server.py:112 | 
dv - | INFO flwr 2024-10-14 15:29:41,839 | server.py:113 | [ROUND 14]
dv - | INFO flwr 2024-10-14 15:29:41,839 | server.py:226 | configure_fit: strategy sampled 3 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:29:51,953 | server.py:240 | aggregate_fit: received 3 results and 0 failures
dv - | INFO flwr 2024-10-14 15:29:51,958 | server.py:178 | configure_evaluate: strategy sampled 3 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:29:54,007 | server.py:192 | aggregate_evaluate: received 3 results and 0 failures
dv - | INFO flwr 2024-10-14 15:29:54,007 | fed_custom.py:227 | aggregated accuracy: 0.39035087719298245
dv - | INFO flwr 2024-10-14 15:29:54,008 | server.py:112 | 
dv - | INFO flwr 2024-10-14 15:29:54,009 | server.py:113 | [ROUND 15]
dv - | INFO flwr 2024-10-14 15:29:54,009 | server.py:226 | configure_fit: strategy sampled 4 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:30:00,093 | server.py:240 | aggregate_fit: received 4 results and 0 failures
dv - | INFO flwr 2024-10-14 15:30:00,097 | server.py:178 | configure_evaluate: strategy sampled 4 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:30:01,120 | server.py:192 | aggregate_evaluate: received 4 results and 0 failures
dv - | INFO flwr 2024-10-14 15:30:01,121 | fed_custom.py:227 | aggregated accuracy: 0.3656798245614035
dv - | INFO flwr 2024-10-14 15:30:01,121 | server.py:112 | 
dv - | INFO flwr 2024-10-14 15:30:01,122 | server.py:113 | [ROUND 16]
dv - | INFO flwr 2024-10-14 15:30:01,123 | server.py:226 | configure_fit: strategy sampled 5 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:30:11,247 | server.py:240 | aggregate_fit: received 5 results and 0 failures
dv - | INFO flwr 2024-10-14 15:30:11,253 | server.py:178 | configure_evaluate: strategy sampled 5 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:30:12,275 | server.py:192 | aggregate_evaluate: received 5 results and 0 failures
dv - | INFO flwr 2024-10-14 15:30:12,276 | fed_custom.py:227 | aggregated accuracy: 0.2980649742588319
dv - | INFO flwr 2024-10-14 15:30:12,276 | server.py:112 | 
dv - | INFO flwr 2024-10-14 15:30:12,277 | server.py:113 | [ROUND 17]
dv - | INFO flwr 2024-10-14 15:30:12,277 | server.py:226 | configure_fit: strategy sampled 2 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:30:17,341 | server.py:240 | aggregate_fit: received 2 results and 0 failures
dv - | INFO flwr 2024-10-14 15:30:17,344 | server.py:178 | configure_evaluate: strategy sampled 2 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:30:18,363 | server.py:192 | aggregate_evaluate: received 2 results and 0 failures
dv - | INFO flwr 2024-10-14 15:30:18,364 | fed_custom.py:227 | aggregated accuracy: 0.5132508833922261
dv - | INFO flwr 2024-10-14 15:30:18,365 | server.py:112 | 
dv - | INFO flwr 2024-10-14 15:30:18,366 | server.py:113 | [ROUND 18]
dv - | INFO flwr 2024-10-14 15:30:18,368 | server.py:226 | configure_fit: strategy sampled 2 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:30:23,426 | server.py:240 | aggregate_fit: received 2 results and 0 failures
dv - | INFO flwr 2024-10-14 15:30:23,428 | server.py:178 | configure_evaluate: strategy sampled 2 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:30:24,438 | server.py:192 | aggregate_evaluate: received 2 results and 0 failures
dv - | INFO flwr 2024-10-14 15:30:24,439 | fed_custom.py:227 | aggregated accuracy: 0.5008833922261484
dv - | INFO flwr 2024-10-14 15:30:24,440 | server.py:112 | 
dv - | INFO flwr 2024-10-14 15:30:24,441 | server.py:113 | [ROUND 19]
dv - | INFO flwr 2024-10-14 15:30:24,442 | server.py:226 | configure_fit: strategy sampled 7 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:30:37,604 | server.py:240 | aggregate_fit: received 7 results and 0 failures
dv - | INFO flwr 2024-10-14 15:30:37,610 | server.py:178 | configure_evaluate: strategy sampled 7 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:30:39,625 | server.py:192 | aggregate_evaluate: received 7 results and 0 failures
dv - | INFO flwr 2024-10-14 15:30:39,626 | fed_custom.py:227 | aggregated accuracy: 0.26992113135708456
dv - | INFO flwr 2024-10-14 15:30:39,627 | server.py:112 | 
dv - | INFO flwr 2024-10-14 15:30:39,628 | server.py:113 | [ROUND 20]
dv - | INFO flwr 2024-10-14 15:30:39,629 | server.py:226 | configure_fit: strategy sampled 7 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:30:51,766 | server.py:240 | aggregate_fit: received 7 results and 0 failures
dv - | INFO flwr 2024-10-14 15:30:51,772 | server.py:178 | configure_evaluate: strategy sampled 7 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:30:53,782 | server.py:192 | aggregate_evaluate: received 7 results and 0 failures
dv - | INFO flwr 2024-10-14 15:30:53,784 | fed_custom.py:227 | aggregated accuracy: 0.37503632664922987
dv - | INFO flwr 2024-10-14 15:30:53,785 | server.py:112 | 
dv - | INFO flwr 2024-10-14 15:30:53,786 | server.py:113 | [ROUND 21]
dv - | INFO flwr 2024-10-14 15:30:53,787 | server.py:226 | configure_fit: strategy sampled 10 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:31:08,962 | server.py:240 | aggregate_fit: received 10 results and 0 failures
dv - | INFO flwr 2024-10-14 15:31:08,969 | server.py:178 | configure_evaluate: strategy sampled 10 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:31:11,005 | server.py:192 | aggregate_evaluate: received 10 results and 0 failures
dv - | INFO flwr 2024-10-14 15:31:11,005 | fed_custom.py:227 | aggregated accuracy: 0.32373813093453274
dv - | INFO flwr 2024-10-14 15:31:11,006 | server.py:112 | 
dv - | INFO flwr 2024-10-14 15:31:11,006 | server.py:113 | [ROUND 22]
dv - | INFO flwr 2024-10-14 15:31:11,007 | server.py:226 | configure_fit: strategy sampled 5 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:31:22,120 | server.py:240 | aggregate_fit: received 5 results and 0 failures
dv - | INFO flwr 2024-10-14 15:31:22,126 | server.py:178 | configure_evaluate: strategy sampled 5 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:31:23,149 | server.py:192 | aggregate_evaluate: received 5 results and 0 failures
dv - | INFO flwr 2024-10-14 15:31:23,149 | fed_custom.py:227 | aggregated accuracy: 0.357733413994757
dv - | INFO flwr 2024-10-14 15:31:23,149 | server.py:112 | 
dv - | INFO flwr 2024-10-14 15:31:23,150 | server.py:113 | [ROUND 23]
dv - | INFO flwr 2024-10-14 15:31:23,150 | server.py:226 | configure_fit: strategy sampled 8 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:31:35,283 | server.py:240 | aggregate_fit: received 8 results and 0 failures
dv - | INFO flwr 2024-10-14 15:31:35,290 | server.py:178 | configure_evaluate: strategy sampled 8 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:31:37,313 | server.py:192 | aggregate_evaluate: received 8 results and 0 failures
dv - | INFO flwr 2024-10-14 15:31:37,313 | fed_custom.py:227 | aggregated accuracy: 0.3383556306013768
dv - | INFO flwr 2024-10-14 15:31:37,314 | server.py:112 | 
dv - | INFO flwr 2024-10-14 15:31:37,314 | server.py:113 | [ROUND 24]
dv - | INFO flwr 2024-10-14 15:31:37,314 | server.py:226 | configure_fit: strategy sampled 8 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:31:52,471 | server.py:240 | aggregate_fit: received 8 results and 0 failures
dv - | INFO flwr 2024-10-14 15:31:52,480 | server.py:178 | configure_evaluate: strategy sampled 8 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:31:54,511 | server.py:192 | aggregate_evaluate: received 8 results and 0 failures
dv - | INFO flwr 2024-10-14 15:31:54,512 | fed_custom.py:227 | aggregated accuracy: 0.33616786305908336
dv - | INFO flwr 2024-10-14 15:31:54,513 | server.py:112 | 
dv - | INFO flwr 2024-10-14 15:31:54,514 | server.py:113 | [ROUND 25]
dv - | INFO flwr 2024-10-14 15:31:54,515 | server.py:226 | configure_fit: strategy sampled 6 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:32:10,675 | server.py:240 | aggregate_fit: received 6 results and 0 failures
dv - | INFO flwr 2024-10-14 15:32:10,681 | server.py:178 | configure_evaluate: strategy sampled 6 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:32:12,726 | server.py:192 | aggregate_evaluate: received 6 results and 0 failures
dv - | INFO flwr 2024-10-14 15:32:12,727 | fed_custom.py:227 | aggregated accuracy: 0.3210880538418396
dv - | INFO flwr 2024-10-14 15:32:12,727 | server.py:112 | 
dv - | INFO flwr 2024-10-14 15:32:12,728 | server.py:113 | [ROUND 26]
dv - | INFO flwr 2024-10-14 15:32:12,728 | server.py:226 | configure_fit: strategy sampled 4 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:32:19,818 | server.py:240 | aggregate_fit: received 4 results and 0 failures
dv - | INFO flwr 2024-10-14 15:32:19,822 | server.py:178 | configure_evaluate: strategy sampled 4 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:32:20,834 | server.py:192 | aggregate_evaluate: received 4 results and 0 failures
dv - | INFO flwr 2024-10-14 15:32:20,835 | fed_custom.py:227 | aggregated accuracy: 0.42693540998625745
dv - | INFO flwr 2024-10-14 15:32:20,835 | server.py:112 | 
dv - | INFO flwr 2024-10-14 15:32:20,835 | server.py:113 | [ROUND 27]
dv - | INFO flwr 2024-10-14 15:32:20,835 | server.py:226 | configure_fit: strategy sampled 4 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:32:27,915 | server.py:240 | aggregate_fit: received 4 results and 0 failures
dv - | INFO flwr 2024-10-14 15:32:27,920 | server.py:178 | configure_evaluate: strategy sampled 4 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:32:28,940 | server.py:192 | aggregate_evaluate: received 4 results and 0 failures
dv - | INFO flwr 2024-10-14 15:32:28,941 | fed_custom.py:227 | aggregated accuracy: 0.30851340796667537
dv - | INFO flwr 2024-10-14 15:32:28,942 | server.py:112 | 
dv - | INFO flwr 2024-10-14 15:32:28,942 | server.py:113 | [ROUND 28]
dv - | INFO flwr 2024-10-14 15:32:28,943 | server.py:226 | configure_fit: strategy sampled 3 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:32:36,013 | server.py:240 | aggregate_fit: received 3 results and 0 failures
dv - | INFO flwr 2024-10-14 15:32:36,015 | server.py:178 | configure_evaluate: strategy sampled 3 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:32:37,026 | server.py:192 | aggregate_evaluate: received 3 results and 0 failures
dv - | INFO flwr 2024-10-14 15:32:37,027 | fed_custom.py:227 | aggregated accuracy: 0.539366515837104
dv - | INFO flwr 2024-10-14 15:32:37,028 | server.py:112 | 
dv - | INFO flwr 2024-10-14 15:32:37,029 | server.py:113 | [ROUND 29]
dv - | INFO flwr 2024-10-14 15:32:37,030 | server.py:226 | configure_fit: strategy sampled 2 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:32:40,061 | server.py:240 | aggregate_fit: received 2 results and 0 failures
dv - | INFO flwr 2024-10-14 15:32:40,066 | server.py:178 | configure_evaluate: strategy sampled 2 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:32:41,073 | server.py:192 | aggregate_evaluate: received 2 results and 0 failures
dv - | INFO flwr 2024-10-14 15:32:41,074 | fed_custom.py:227 | aggregated accuracy: 0.44526315789473686
dv - | INFO flwr 2024-10-14 15:32:41,075 | server.py:112 | 
dv - | INFO flwr 2024-10-14 15:32:41,076 | server.py:113 | [ROUND 30]
dv - | INFO flwr 2024-10-14 15:32:41,077 | server.py:226 | configure_fit: strategy sampled 5 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:32:48,161 | server.py:240 | aggregate_fit: received 5 results and 0 failures
dv - | INFO flwr 2024-10-14 15:32:48,165 | server.py:178 | configure_evaluate: strategy sampled 5 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:32:49,184 | server.py:192 | aggregate_evaluate: received 5 results and 0 failures
dv - | INFO flwr 2024-10-14 15:32:49,185 | fed_custom.py:227 | aggregated accuracy: 0.46319854611540207
dv - | INFO flwr 2024-10-14 15:32:49,186 | server.py:496 | 
dv - | INFO flwr 2024-10-14 15:32:49,186 | server.py:497 | [SUMMARY]
dv - | INFO flwr 2024-10-14 15:32:49,187 | server.py:498 | Run finished 30 round(s) in 340.04s
dv - | INFO flwr 2024-10-14 15:32:49,188 | server.py:500 | 	History (loss, distributed):
dv - | INFO flwr 2024-10-14 15:32:49,189 | server.py:500 | 		round 1: 86.3666687255809
dv - | INFO flwr 2024-10-14 15:32:49,190 | server.py:500 | 		round 2: 88.69365921199272
dv - | INFO flwr 2024-10-14 15:32:49,190 | server.py:500 | 		round 3: 90.76218682432932
dv - | INFO flwr 2024-10-14 15:32:49,191 | server.py:500 | 		round 4: 79.34025673818958
dv - | INFO flwr 2024-10-14 15:32:49,191 | server.py:500 | 		round 5: 90.68536683201813
dv - | INFO flwr 2024-10-14 15:32:49,192 | server.py:500 | 		round 6: 80.2976946142105
dv - | INFO flwr 2024-10-14 15:32:49,193 | server.py:500 | 		round 7: 76.38643290968085
dv - | INFO flwr 2024-10-14 15:32:49,193 | server.py:500 | 		round 8: 49.98442994242592
dv - | INFO flwr 2024-10-14 15:32:49,194 | server.py:500 | 		round 9: 67.42510800022045
dv - | INFO flwr 2024-10-14 15:32:49,194 | server.py:500 | 		round 10: 92.53996920169337
dv - | INFO flwr 2024-10-14 15:32:49,195 | server.py:500 | 		round 11: 96.19417200356665
dv - | INFO flwr 2024-10-14 15:32:49,195 | server.py:500 | 		round 12: 78.04220870777235
dv - | INFO flwr 2024-10-14 15:32:49,196 | server.py:500 | 		round 13: 67.23406356490591
dv - | INFO flwr 2024-10-14 15:32:49,196 | server.py:500 | 		round 14: 75.9208899765742
dv - | INFO flwr 2024-10-14 15:32:49,197 | server.py:500 | 		round 15: 56.55627113314378
dv - | INFO flwr 2024-10-14 15:32:49,198 | server.py:500 | 		round 16: 80.43692846184362
dv - | INFO flwr 2024-10-14 15:32:49,199 | server.py:500 | 		round 17: 48.09821647113393
dv - | INFO flwr 2024-10-14 15:32:49,199 | server.py:500 | 		round 18: 51.4352488017019
dv - | INFO flwr 2024-10-14 15:32:49,200 | server.py:500 | 		round 19: 75.90288244217416
dv - | INFO flwr 2024-10-14 15:32:49,200 | server.py:500 | 		round 20: 62.983960740357006
dv - | INFO flwr 2024-10-14 15:32:49,201 | server.py:500 | 		round 21: 67.12218282915008
