round,accuracy,count
1,0.1027,7
2,0.1025,9
3,0.1023,5
4,0.1024,6
5,0.1083,12
6,0.1212,8
7,0.1284,7
8,0.139,6
9,0.1422,8
10,0.1602,5
11,0.1745,6
12,0.1811,6
13,0.1794,6
14,0.1833,8
15,0.1895,10
16,0.1991,5
17,0.2037,7
18,0.2013,5
19,0.1916,5
20,0.187,6
21,0.1753,7
22,0.1735,7
23,0.1703,5
24,0.1764,8
25,0.1731,6
26,0.197,6
27,0.2057,6
28,0.2156,10
29,0.2355,8
30,0.2377,8
31,0.247,5
32,0.257,6
33,0.2702,6
34,0.2739,6
35,0.2836,6
36,0.2871,8
37,0.2915,6
38,0.2969,4
39,0.3012,6
40,0.3042,7
41,0.3101,9
42,0.3093,9
43,0.311,8
44,0.3157,5
45,0.3204,7
46,0.3216,7
47,0.3303,7
48,0.332,8
49,0.3359,11
50,0.3409,10
51,0.3416,12
52,0.3474,7
53,0.3489,7
54,0.3545,8
55,0.3562,7
56,0.3568,7
57,0.3636,8
58,0.3689,8
59,0.3709,13
60,0.3744,8
61,0.3781,8
62,0.3764,4
63,0.3788,5
64,0.3864,9
65,0.3876,6
66,0.387,8
67,0.3933,7
68,0.3931,8
69,0.3927,6
70,0.3921,5
71,0.3973,9
72,0.3954,6
73,0.4041,8
74,0.4045,6
75,0.4052,9
76,0.4052,10
77,0.4137,5
78,0.4096,8
79,0.4106,4
80,0.414,8
81,0.4198,4
82,0.4138,4
83,0.4197,5
84,0.4266,6
85,0.4292,9
86,0.4251,5
87,0.4288,6
88,0.4352,6
89,0.4331,6
90,0.4377,8
91,0.4355,7
92,0.4411,10
93,0.4414,5
94,0.4413,7
95,0.4418,4
96,0.4475,5
97,0.4473,5
98,0.4502,10
99,0.455,7
100,0.4504,8
101,0.4503,6
102,0.4553,6
103,0.4612,7
104,0.4573,6
105,0.4631,9
106,0.4611,7
107,0.4656,13
108,0.4591,6
109,0.4647,7
110,0.4699,7
111,0.4678,5
112,0.4741,11
113,0.464,5
114,0.4727,7
115,0.4717,5
116,0.4711,5
117,0.479,9
118,0.4781,8
119,0.4814,10
120,0.4756,4
121,0.4834,10
122,0.4826,7
123,0.4857,7
124,0.4798,6
125,0.487,9
126,0.4853,8
127,0.4866,5
128,0.4847,7
129,0.4891,8
130,0.4885,10
131,0.4936,4
132,0.4746,2
133,0.492,6
134,0.4932,9
135,0.4944,4
136,0.5007,6
137,0.4962,4
138,0.4993,9
139,0.4958,7
140,0.4999,7
141,0.5003,6
142,0.5024,5
143,0.5039,9
144,0.5042,8
145,0.5052,6
146,0.5056,6
147,0.5104,9
148,0.5031,5
149,0.5095,5
150,0.5097,7
151,0.5124,9
152,0.5102,8
153,0.5114,8
154,0.5131,7
155,0.511,5
156,0.5163,6
157,0.5145,7
158,0.5186,8
159,0.517,9
160,0.5197,11
161,0.5237,7
162,0.5164,4
163,0.5177,6
164,0.5198,6
165,0.5195,5
166,0.5235,9
167,0.5254,9
168,0.5169,6
169,0.52,4
170,0.5236,5
171,0.5257,7
172,0.5247,6
173,0.5272,7
174,0.5325,10
175,0.5296,10
176,0.5273,4
177,0.528,6
178,0.5316,6
179,0.5336,8
180,0.5321,8
181,0.5365,6
182,0.5342,11
183,0.5364,7
184,0.5339,6
185,0.5334,10
186,0.5378,8
187,0.5359,6
188,0.5331,6
189,0.5341,7
190,0.5361,7
191,0.5426,9
192,0.5375,8
193,0.5356,6
194,0.5353,8
195,0.5336,5
196,0.536,4
197,0.5408,5
198,0.5412,6
199,0.5405,5
200,0.5454,10
