dv - | INFO flwr 2024-11-12 00:07:46,205 | server_app.py:105 | file writing: True
dv - | INFO flwr 2024-11-12 00:07:46,205 | server_app.py:106 | running in fed_ftrim
dv - | INFO flwr 2024-11-12 00:07:46,205 | server_app.py:107 | min num clients 2
dv - | INFO flwr 2024-11-12 00:07:46,205 | server_app.py:108 | num server rounds 200
dv - | INFO flwr 2024-11-12 00:07:46,205 | server_app.py:109 | config num local epochs 3
dv - | INFO flwr 2024-11-12 00:07:46,205 | server_app.py:110 | advanced logging False
dv - | INFO flwr 2024-11-12 00:07:46,205 | server_app.py:111 | partition: dirichlet
dv - | INFO flwr 2024-11-12 00:07:46,205 | server_app.py:112 | fraction: 2
dv - | INFO flwr 2024-11-12 00:07:46,205 | app.py:74 | Starting Flower ServerApp, config: num_rounds=200, no round_timeout
dv - | INFO flwr 2024-11-12 00:07:46,206 | app.py:79 | 
dv - | INFO flwr 2024-11-12 00:07:46,206 | server.py:92 | [INIT]
dv - | INFO flwr 2024-11-12 00:07:46,206 | server.py:277 | Using initial global parameters provided by strategy
dv - | INFO flwr 2024-11-12 00:07:46,206 | server.py:94 | Starting evaluation of initial global parameters
dv - | INFO flwr 2024-11-12 00:07:46,206 | server.py:106 | Evaluation returned no results (`None`)
dv - | INFO flwr 2024-11-12 00:07:46,206 | server.py:112 | 
dv - | INFO flwr 2024-11-12 00:07:46,206 | server.py:113 | [ROUND 1]
dv - | DEBUG flwr 2024-11-12 00:07:46,206 | fed_custom.py:174 | SMART sample
dv - | INFO flwr 2024-11-12 00:07:46,206 | fed_custom.py:200 | configure_fit: strategy returns 6 out of range 26 and round 13
dv - | INFO flwr 2024-11-12 00:07:46,206 | server.py:226 | configure_fit: strategy sampled 6 clients (out of 50)
dv - | DEBUG flwr 2024-11-12 00:07:48,423 | raybackend.py:141 | Constructed ActorPool with: 12 actors
dv - | DEBUG flwr 2024-11-12 00:07:48,423 | state_factory.py:50 | Using InMemoryState
dv - | INFO flwr 2024-11-12 00:07:53,025 | server.py:240 | aggregate_fit: received 6 results and 0 failures
dv - | INFO flwr 2024-11-12 00:07:53,028 | server.py:178 | configure_evaluate: strategy sampled 50 clients (out of 50)
dv - | INFO flwr 2024-11-12 00:07:56,143 | server.py:192 | aggregate_evaluate: received 50 results and 0 failures
dv - | INFO flwr 2024-11-12 00:07:56,143 | fed_custom.py:294 | aggregated accuracy: 0.09928158052284973
dv - | INFO flwr 2024-11-12 00:07:56,143 | server.py:112 | 
dv - | INFO flwr 2024-11-12 00:07:56,143 | server.py:113 | [ROUND 2]
dv - | DEBUG flwr 2024-11-12 00:07:56,143 | fed_custom.py:174 | SMART sample
dv - | INFO flwr 2024-11-12 00:07:56,143 | fed_custom.py:200 | configure_fit: strategy returns 9 out of range 26 and round 13
dv - | INFO flwr 2024-11-12 00:07:56,143 | server.py:226 | configure_fit: strategy sampled 9 clients (out of 50)
dv - | INFO flwr 2024-11-12 00:07:57,248 | server.py:240 | aggregate_fit: received 9 results and 0 failures
dv - | INFO flwr 2024-11-12 00:07:57,250 | server.py:178 | configure_evaluate: strategy sampled 50 clients (out of 50)
dv - | INFO flwr 2024-11-12 00:07:57,661 | server.py:192 | aggregate_evaluate: received 50 results and 0 failures
dv - | INFO flwr 2024-11-12 00:07:57,662 | fed_custom.py:294 | aggregated accuracy: 0.10047894631810018
dv - | INFO flwr 2024-11-12 00:07:57,662 | server.py:112 | 
dv - | INFO flwr 2024-11-12 00:07:57,662 | server.py:113 | [ROUND 3]
dv - | DEBUG flwr 2024-11-12 00:07:57,662 | fed_custom.py:174 | SMART sample
dv - | INFO flwr 2024-11-12 00:07:57,662 | fed_custom.py:200 | configure_fit: strategy returns 6 out of range 24 and round 12
dv - | INFO flwr 2024-11-12 00:07:57,662 | server.py:226 | configure_fit: strategy sampled 6 clients (out of 50)
dv - | INFO flwr 2024-11-12 00:07:58,567 | server.py:240 | aggregate_fit: received 6 results and 0 failures
dv - | INFO flwr 2024-11-12 00:07:58,569 | server.py:178 | configure_evaluate: strategy sampled 50 clients (out of 50)
dv - | INFO flwr 2024-11-12 00:07:58,993 | server.py:192 | aggregate_evaluate: received 50 results and 0 failures
dv - | INFO flwr 2024-11-12 00:07:58,993 | fed_custom.py:294 | aggregated accuracy: 0.10047894631810018
dv - | INFO flwr 2024-11-12 00:07:58,993 | server.py:112 | 
dv - | INFO flwr 2024-11-12 00:07:58,993 | server.py:113 | [ROUND 4]
dv - | DEBUG flwr 2024-11-12 00:07:58,993 | fed_custom.py:174 | SMART sample
dv - | INFO flwr 2024-11-12 00:07:58,993 | fed_custom.py:200 | configure_fit: strategy returns 7 out of range 24 and round 12
dv - | INFO flwr 2024-11-12 00:07:58,993 | server.py:226 | configure_fit: strategy sampled 7 clients (out of 50)
dv - | INFO flwr 2024-11-12 00:07:59,896 | server.py:240 | aggregate_fit: received 7 results and 0 failures
dv - | INFO flwr 2024-11-12 00:07:59,898 | server.py:178 | configure_evaluate: strategy sampled 50 clients (out of 50)
dv - | INFO flwr 2024-11-12 00:08:00,419 | server.py:192 | aggregate_evaluate: received 50 results and 0 failures
dv - | INFO flwr 2024-11-12 00:08:00,419 | fed_custom.py:294 | aggregated accuracy: 0.10047894631810018
dv - | INFO flwr 2024-11-12 00:08:00,419 | server.py:112 | 
dv - | INFO flwr 2024-11-12 00:08:00,419 | server.py:113 | [ROUND 5]
dv - | DEBUG flwr 2024-11-12 00:08:00,419 | fed_custom.py:174 | SMART sample
dv - | INFO flwr 2024-11-12 00:08:00,419 | fed_custom.py:200 | configure_fit: strategy returns 12 out of range 38 and round 19
dv - | INFO flwr 2024-11-12 00:08:00,419 | server.py:226 | configure_fit: strategy sampled 12 clients (out of 50)
dv - | INFO flwr 2024-11-12 00:08:01,733 | server.py:240 | aggregate_fit: received 12 results and 0 failures
dv - | INFO flwr 2024-11-12 00:08:01,737 | server.py:178 | configure_evaluate: strategy sampled 50 clients (out of 50)
dv - | INFO flwr 2024-11-12 00:08:02,250 | server.py:192 | aggregate_evaluate: received 50 results and 0 failures
dv - | INFO flwr 2024-11-12 00:08:02,250 | fed_custom.py:294 | aggregated accuracy: 0.10047894631810018
dv - | INFO flwr 2024-11-12 00:08:02,250 | server.py:112 | 
dv - | INFO flwr 2024-11-12 00:08:02,250 | server.py:113 | [ROUND 6]
dv - | DEBUG flwr 2024-11-12 00:08:02,250 | fed_custom.py:174 | SMART sample
dv - | INFO flwr 2024-11-12 00:08:02,250 | fed_custom.py:200 | configure_fit: strategy returns 8 out of range 30 and round 15
dv - | INFO flwr 2024-11-12 00:08:02,250 | server.py:226 | configure_fit: strategy sampled 8 clients (out of 50)
dv - | INFO flwr 2024-11-12 00:08:03,354 | server.py:240 | aggregate_fit: received 8 results and 0 failures
dv - | INFO flwr 2024-11-12 00:08:03,356 | server.py:178 | configure_evaluate: strategy sampled 50 clients (out of 50)
dv - | INFO flwr 2024-11-12 00:08:03,866 | server.py:192 | aggregate_evaluate: received 50 results and 0 failures
dv - | INFO flwr 2024-11-12 00:08:03,866 | fed_custom.py:294 | aggregated accuracy: 0.10047894631810018
dv - | INFO flwr 2024-11-12 00:08:03,866 | server.py:112 | 
dv - | INFO flwr 2024-11-12 00:08:03,866 | server.py:113 | [ROUND 7]
dv - | DEBUG flwr 2024-11-12 00:08:03,866 | fed_custom.py:174 | SMART sample
